asignatura,creditos,periodo,regimen,costo
PROYECTO DE TITULO,30,X,Semestral,$1.849.350
PROYECTO DE TITULO,30,X,Semestral,$1.849.350
TALLER DE DISEÑO I,18,I-II,Anual,$1.109.610
TALLER DE DISEÑO GRAFICO II,18,III-IV,Anual,$1.109.610
TALLER DE DISEÑO INDUSTRIAL II,18,III-IV,Anual,$1.109.610
PRACTICA PROFESIONAL II,15,IX,Semestral,$924.675
INVESTIGACION BASE MEMORIA,15,IX,Semestral,$924.675
PRACTICA PROFESIONAL II,15,IX,Semestral,$924.675
INVESTIGACION BASE MEMORIA,15,IX,Semestral,$924.675
TALLER DE DISEÑO GRAFICO III,9,V,Semestral,$554.805
TALLER DE DISEÑO INDUSTRIAL III,9,V,Semestral,$554.805
TALLER DE DISEÑO GRAFICO IV,9,VI,Semestral,$554.805
TALLER DE DISEÑO INDUSTRIAL IV,9,VI,Semestral,$554.805
TALLER DE DISEÑO GRAFICO V,9,VII,Semestral,$554.805
TALLER DE DISEÑO INDUSTRIAL V,9,VII,Semestral,$554.805
TALLER DE DISEÑO GRAFICO VI,9,VIII,Semestral,$554.805
TALLER DE DISEÑO INDUSTRIAL VI,9,VIII,Semestral,$554.805
EXPRESION GRAFICA I,7,I-II,Anual,$406.857
PERCEPCION,7,I-II,Anual,$406.857
GEOMETRIA,7,I-II,Anual,$406.857
GRAFICA COMPUTACIONAL I,6,I-II,Anual,$369.870
HISTORIA Y TEORIA DEL DISEÑO,6,I-II,Anual,$369.870
MATEMATICAS,6,I-II,Anual,$369.870
EXPRESION GRAFICA II,6,III-IV,Anual,$369.870
PERCEPCION VISUAL,6,III-IV,Anual,$369.870
FOTOGRAFIA,6,III-IV,Anual,$369.870
GRAFICA COMPUTACIONAL II,6,III-IV,Anual,$369.870
HISTORIA Y TEORIA DEL DISEÑO GRAFICO,6,III-IV,Anual,$369.870
TEORIA DE LA COMUNICACION,6,III-IV,Anual,$369.870
ECONOMIA Y ADMINISTRACION,6,III-IV,Anual,$369.870
TALLER DE MAQUETAS Y PROTOTIPOS,6,III-IV,Anual,$369.870
GEOMETRIA II Y DIBUJO TECNICO,6,III-IV,Anual,$369.870
TECNOLOGIA INDUSTRIAL Y MATERIALES I,6,III-IV,Anual,$369.870
GRAFICA COMPUTACIONAL II,6,III-IV,Anual,$369.870
ERGONOMIA I,6,III-IV,Anual,$369.870
FISICA,6,III-IV,Anual,$369.870
ECONOMIA Y ADMINISTRACION,6,III-IV,Anual,$369.870
SEMINARIO DE DISEÑO GRAFICO I,5,VII,Semestral,$295.896
SEMINARIO DE DISEÑO INDUSTRIAL I,5,VII,Semestral,$295.896
SEMINARIO DE DISEÑO GRAFICO II,5,VIII,Semestral,$295.896
SEMINARIO DE DISEÑO INDUSTRIAL II,5,VIII,Semestral,$295.896
ANTROPOLOGIA CULTURAL,3,I-II,Anual,$184.935
TECNOLOGIA GRAFICA I,3,V,Semestral,$184.935
MULTIMEDIA I,3,V,Semestral,$184.935
LENGUAJE AUDIOVISUAL I,3,V,Semestral,$184.935
PSICOLOGIA SOCIAL,3,V,Semestral,$184.935
SEMIOTICA DE LA IMAGEN I,3,V,Semestral,$184.935
MARKETING I,3,V,Semestral,$184.935
ELECTIVO I,3,V,Semestral,$184.935
TECNOLOGIA INDUSTRIAL Y MATERIALES II,3,V,Semestral,$184.935
MODELAMIENTO I,3,V,Semestral,$184.935
ERGONOMIA II,3,V,Semestral,$184.935
ESTRUCTURAS I,3,V,Semestral,$184.935
MARKETING I,3,V,Semestral,$184.935
HISTORIA Y TEORIA DEL DISEÑO INDUSTRIAL,3,V,Semestral,$184.935
ELECTIVO I,3,V,Semestral,$184.935
TECNOLOGIA GRAFICA II,3,VI,Semestral,$184.935
MULTIMEDIA II,3,VI,Semestral,$184.935
LENGUAJE AUDIOVISUAL II,3,VI,Semestral,$184.935
METODOLOGIA DE LA INVESTIGACION,3,VI,Semestral,$184.935
SEMIOTICA DE LA IMAGEN II,3,VI,Semestral,$184.935
MARKETING II,3,VI,Semestral,$184.935
ELECTIVO II,3,VI,Semestral,$184.935
TECNOLOGIA INDUSTRIAL Y MATERIALES III,3,VI,Semestral,$184.935
MODELAMIENTO II,3,VI,Semestral,$184.935
BIONICA,3,VI,Semestral,$184.935
ESTRUCTURAS II,3,VI,Semestral,$184.935
MARKETING II,3,VI,Semestral,$184.935
METODOLOGIAS DE LA INVESTIGACION,3,VI,Semestral,$184.935
ELECTIVO II,3,VI,Semestral,$184.935
SEMINARIO GRAFICA COMPUTACIONAL I,3,VII,Semestral,$184.935
SEMINARIO PRODUCCION AUDIOVISUAL I,3,VII,Semestral,$184.935
PUBLICIDAD,3,VII,Semestral,$184.935
SEMINARIO DE GESTION I,3,VII,Semestral,$184.935
ELECTIVO III,3,VII,Semestral,$184.935
PSICOLOGIA SOCIAL,3,VII,Semestral,$184.935
SEMINARIO DISEÑO COMPUTACIONAL I,3,VII,Semestral,$184.935
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES I,3,VII,Semestral,$184.935
SEMINARIO DE GESTION I,3,VII,Semestral,$184.935
ELECTIVO III,3,VII,Semestral,$184.935
SEMINARIO GRAFICA COMPUTACIONAL II,3,VIII,Semestral,$184.935
SEMINARIO PRODUCCION AUDIOVISUAL II,3,VIII,Semestral,$184.935
ETICA Y LEGISLACION,3,VIII,Semestral,$184.935
SEMINARIO DE GESTION II,3,VIII,Semestral,$184.935
ELECTIVO IV,3,VIII,Semestral,$184.935
ETICA Y LEGISLACION,3,VIII,Semestral,$184.935
SEMINARIO DE DISEÑO COMPUTACIONAL II,3,VIII,Semestral,$184.935
SEMINARIO DE PROCESOS DE PRODUCCION Y MATERIALES INDUSTRIALES II,3,VIII,Semestral,$184.935
SEMINARIO DE GESTION II,3,VIII,Semestral,$184.935
ELECTIVO IV,3,VIII,Semestral,$184.935
PRACTICA PROFESIONAL I,2,VII,Semestral,$123.290
PRACTICA PROFESIONAL I,2,VII,Semestral,$123.290
